ProblemNo,Connection,Cost
25,14313 : 25 -> 27 ; 14266 : 19 -> 20 ; 14308 : 1 -> 2 ; 15043 : 2 -> 21 ; 19269 : 23 -> 24 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 6 -> 23 ; 14308 : 8 -> 9 ; 23010 : 15 -> 16 ; 14266 : 25 -> 10 ; 23010 : 17 -> 18 ; 14266 : 28 -> 19 ; 14204 : 1 -> 2 ; 14266 : 31 -> 32 ; 14308 : 11 -> 12 ; 19269 : 24 -> 20 ; 14204 : 2 -> 3 ; 14308 : 17 -> 4 ; 14266 : 33 -> 34 ; 14308 : 19 -> 20 ; 14204 : 4 -> 35 ; 14308 : 21 -> 6 ; 14266 : 36 -> 37 ; 14204 : 7 -> 8 ; 14308 : 27 -> 9 ; 14266 : 38 -> 39 ; 14308 : 29 -> 30 ; 14204 : 9 -> 40 ; 14308 : 31 -> 11 ; 14308 : 34 -> 12 ; 14266 : 42 -> 43 ; 14204 : 12 -> 14 ; 14266 : 44 -> 46 ; 14204 : 14 -> 16 ; 14266 : 47 -> 48 ; 15111 : 13 -> 14 ; 23010 : 38 -> 48,709
26,23010 : 61 -> 65,101
27,15111 : 2 -> 13 ; 14203 : 1 -> 14 ; 23010 : 38 -> 3 ; 14266 : 47 -> 5 ; 14266 : 44 -> 8 ; 14307 : 7 -> 8 ; 14308 : 34 -> 9 ; 14307 : 10 -> 12 ; 14203 : 9 -> 13 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14,373
28,14266 : 45 -> 46 ; 14203 : 3 -> 4 ; 14204 : 14 -> 8 ; 14307 : 7 -> 8 ; 14308 : 34 -> 9 ; 14307 : 10 -> 12 ; 14203 : 9 -> 13 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14 ; 14203 : 10 -> 15 ; 54253 : 16 -> 17 ; 14307 : 15 -> 18 ; 14203 : 11 -> 13 ; 14307 : 17 -> 18 ; 54253 : 18 -> 19 ; 14307 : 18 -> 20 ; 14203 : 13 -> 21 ; 54253 : 21 -> 22 ; 14307 : 21 -> 22,184
29,15111 : 10 -> 13 ; 14203 : 1 -> 14 ; 23010 : 38 -> 3 ; 14266 : 47 -> 5 ; 14266 : 44 -> 6,187
30,13119 : 24 -> 25 ; 13120 : 65 -> 66 ; 03235 : 3 -> 4 ; 13023 : 14 -> 26 ; 13403 : 25 -> 26 ; 13413 : 7 -> 8 ; 13416 : 13 -> 14 ; 03235 : 4 -> 5 ; 13071 : 16 -> 17 ; 13119 : 27 -> 28 ; 03235 : 6 -> 7 ; 03401 : 1 -> 2 ; 12254 : 1 -> 2 ; 12335 : 1 -> 2 ; 13241 : 7 -> 8 ; 13242 : 13 -> 14 ; 03235 : 8 -> 9 ; 03401 : 4 -> 5 ; 12349 : 2 -> 3 ; 03235 : 10 -> 11 ; 12254 : 2 -> 3 ; 13119 : 36 -> 37 ; 03401 : 9 -> 10 ; 12367 : 5 -> 6 ; 03235 : 12 -> 13 ; 12254 : 3 -> 4 ; 13413 : 13 -> 14 ; 03235 : 14 -> 15 ; 08449 : 12 -> 13 ; 08450 : 4 -> 5 ; 11105 : 9 -> 10 ; 12254 : 4 -> 5 ; 12304 : 18 -> 19 ; 12352 : 14 -> 15 ; 12361 : 5 -> 6 ; 13021 : 21 -> 22 ; 13050 : 78 -> 79 ; 13241 : 15 -> 15 ; 15620 : 17 -> 18 ; 18604 : 7 -> 8 ; 18621 : 18 -> 19 ; 22405 : 5 -> 6 ; 12023 : 10 -> 11 ; 13007 : 22 -> 23 ; 13023 : 25 -> 26 ; 03235 : 17 -> 18 ; 12568 : 4 -> 5 ; 13241 : 16 -> 19 ; 03401 : 19 -> 20 ; 08449 : 13 -> 14 ; 12023 : 12 -> 13 ; 13007 : 27 -> 20 ; 13007 : 30 -> 31 ; 03235 : 20 -> 22 ; 03401 : 22 -> 23 ; 12303 : 13 -> 14 ; 12359 : 10 -> 11 ; 12392 : 27 -> 28 ; 12567 : 8 -> 9 ; 13049 : 35 -> 36 ; 13119 : 50 -> 51 ; 13247 : 39 -> 40 ; 13281 : 30 -> 31 ; 14224 : 15 -> 16 ; 83131 : 26 -> 27 ; 13007 : 33 -> 34 ; 13119 : 52 -> 53 ; 03235 : 23 -> 24 ; 08449 : 14 -> 15 ; 12402 : 25 -> 26 ; 13245 : 32 -> 33 ; 83131 : 30 -> 31 ; 13245 : 33 -> 34 ; 03235 : 24 -> 25 ; 11105 : 10 -> 11 ; 13007 : 35 -> 36 ; 18449 : 25 -> 26 ; 83131 : 32 -> 33 ; 03235 : 26 -> 27 ; 03401 : 26 -> 27 ; 11105 : 11 -> 12 ; 12305 : 5 -> 6 ; 12327 : 9 -> 10 ; 12349 : 9 -> 10 ; 12351 : 24 -> 25 ; 12365 : 1 -> 2 ; 12487 : 9 -> 10 ; 12520 : 12 -> 13 ; 13330 : 1 -> 2 ; 13348 : 1 -> 2 ; 14223 : 7 -> 8 ; 12333 : 17 -> 18 ; 12391 : 15 -> 16 ; 12395 : 3 -> 4 ; 13007 : 38 -> 39 ; 13201 : 3 -> 4 ; 13256 : 15 -> 16 ; 22352 : 27 -> 28 ; 13007 : 40 -> 41 ; 12333 : 18 -> 42 ; 11105 : 12 -> 13 ; 12150 : 2 -> 20 ; 12335 : 18 -> 19 ; 12395 : 4 -> 5 ; 13119 : 66 -> 21 ; 12401 : 13 -> 14 ; 13007 : 45 -> 46 ; 13413 : 26 -> 27 ; 13119 : 69 -> 70 ; 12333 : 21 -> 22 ; 13049 : 44 -> 23 ; 11105 : 13 -> 24 ; 12391 : 19 -> 20 ; 12401 : 15 -> 16 ; 13049 : 47 -> 48 ; 13201 : 8 -> 9 ; 13237 : 4 -> 5 ; 13049 : 48 -> 49 ; 12391 : 20 -> 50 ; 12333 : 24 -> 25 ; 12401 : 16 -> 17 ; 13049 : 52 -> 53 ; 13119 : 78 -> 79 ; 13237 : 5 -> 6 ; 11046 : 8 -> 9 ; 11093 : 26 -> 27 ; 11094 : 3 -> 4 ; 11105 : 14 -> 15 ; 12142 : 5 -> 6 ; 12150 : 4 -> 5 ; 12303 : 19 -> 20 ; 12323 : 7 -> 8 ; 12327 : 11 -> 12 ; 12397 : 10 -> 11 ; 12938 : 6 -> 7 ; 13049 : 56 -> 57 ; 13201 : 13 -> 14 ; 19051 : 13 -> 14 ; 04927 : 1 -> 2 ; 11033 : 21 -> 22 ; 11034 : 12 -> 13 ; 11038 : 4 -> 5 ; 11046 : 9 -> 10 ; 11062 : 12 -> 13 ; 11072 : 1 -> 2 ; 11108 : 1 -> 2 ; 12235 : 21 -> 22 ; 12317 : 12 -> 13 ; 12331 : 17 -> 18 ; 12353 : 10 -> 11 ; 12371 : 8 -> 9 ; 12381 : 14 -> 15 ; 12537 : 12 -> 13 ; 13049 : 59 -> 60 ; 13151 : 37 -> 38 ; 13237 : 7 -> 8 ; 13307 : 17 -> 18 ; 13413 : 36 -> 37 ; 14007 : 16 -> 17 ; 14257 : 1 -> 2 ; 15636 : 21 -> 22 ; 15668 : 17 -> 18 ; 15933 : 28 -> 62 ; 13050 : 47 -> 48 ; 13307 : 18 -> 19 ; 13049 : 63 -> 64 ; 14235 : 3 -> 65 ; 13307 : 20 -> 21 ; 14227 : 2 -> 3 ; 12331 : 18 -> 19 ; 13049 : 67 -> 68 ; 14007 : 17 -> 18,606
31,58501 : 16 -> 17 ; 58502 : 37 -> 24 ; 18005 : 45 -> 46 ; 18006 : 3 -> 4 ; 18212 : 3 -> 4 ; 18448 : 4 -> 5 ; 18448 : 6 -> 6 ; 18448 : 9 -> 10 ; 18108 : 4 -> 5 ; 18448 : 11 -> 17 ; 12807 : 8 -> 10 ; 18437 : 24 -> 25 ; 08302 : 21 -> 22 ; 12375 : 16 -> 11 ; 12843 : 15 -> 16 ; 58530 : 28 -> 29 ; 08302 : 22 -> 24 ; 12145 : 15 -> 16 ; 12146 : 14 -> 15 ; 12872 : 1 -> 2 ; 18518 : 15 -> 16 ; 58530 : 36 -> 25 ; 12375 : 19 -> 20 ; 12872 : 3 -> 4 ; 12894 : 1 -> 2 ; 18426 : 12 -> 13 ; 08302 : 25 -> 26 ; 12872 : 5 -> 6 ; 12145 : 19 -> 20 ; 12375 : 21 -> 22 ; 12879 : 14 -> 15 ; 12894 : 6 -> 7 ; 14709 : 23 -> 24 ; 18311 : 1 -> 2 ; 18408 : 18 -> 19 ; 18422 : 33 -> 34 ; 02511 : 9 -> 10 ; 12130 : 6 -> 7 ; 12810 : 6 -> 7 ; 12833 : 55 -> 56 ; 12872 : 10 -> 11 ; 12950 : 12 -> 13 ; 13288 : 40 -> 41 ; 18029 : 61 -> 62 ; 18311 : 3 -> 4 ; 22843 : 5 -> 6 ; 22846 : 3 -> 4 ; 58111 : 35 -> 36 ; 58112 : 72 -> 73 ; 12872 : 12 -> 13 ; 13287 : 14 -> 15 ; 18006 : 27 -> 28 ; 58112 : 77 -> 78 ; 12833 : 57 -> 58 ; 18006 : 29 -> 30 ; 18418 : 15 -> 16 ; 18006 : 30 -> 33 ; 02511 : 10 -> 11 ; 12811 : 17 -> 18 ; 12832 : 10 -> 11 ; 12872 : 15 -> 16 ; 13287 : 16 -> 17 ; 13426 : 16 -> 34 ; 18029 : 64 -> 65 ; 18109 : 1 -> 2 ; 18311 : 5 -> 6 ; 18478 : 56 -> 57 ; 22511 : 12 -> 13 ; 58112 : 88 -> 89 ; 58114 : 41 -> 42 ; 58112 : 89 -> 90 ; 58114 : 43 -> 44 ; 12872 : 16 -> 17 ; 18006 : 35 -> 36 ; 18029 : 66 -> 67 ; 58112 : 91 -> 92 ; 12872 : 17 -> 18 ; 58112 : 94 -> 19 ; 13287 : 20 -> 21 ; 58112 : 96 -> 97 ; 02511 : 11 -> 12 ; 12101 : 13 -> 14 ; 12375 : 24 -> 25 ; 12767 : 14 -> 15 ; 12872 : 19 -> 20 ; 18403 : 1 -> 2 ; 22805 : 9 -> 10 ; 58012 : 1 -> 2 ; 58112 : 98 -> 21 ; 13287 : 22 -> 23 ; 18515 : 2 -> 3 ; 58012 : 3 -> 4 ; 12872 : 21 -> 22 ; 58012 : 5 -> 6 ; 58112 : 102 -> 103 ; 13287 : 26 -> 27 ; 18182 : 35 -> 36 ; 28182 : 32 -> 7 ; 12865 : 8 -> 28 ; 18615 : 9 -> 10 ; 58012 : 9 -> 10 ; 12865 : 9 -> 10 ; 58012 : 12 -> 13 ; 02511 : 12 -> 13 ; 12151 : 19 -> 20 ; 12443 : 6 -> 7 ; 12801 : 10 -> 11 ; 12828 : 1 -> 2 ; 13302 : 4 -> 5 ; 15021 : 4 -> 5 ; 18103 : 2 -> 3 ; 22891 : 9 -> 10 ; 58012 : 16 -> 17 ; 13287 : 30 -> 31 ; 58012 : 20 -> 21 ; 02511 : 13 -> 15 ; 06336 : 44 -> 45 ; 08449 : 8 -> 9 ; 11447 : 39 -> 40 ; 11448 : 5 -> 6 ; 12253 : 23 -> 24 ; 12315 : 4 -> 5 ; 12321 : 6 -> 7 ; 12325 : 2 -> 3 ; 12339 : 8 -> 9 ; 12376 : 1 -> 2 ; 13404 : 19 -> 20 ; 53049 : 20 -> 21 ; 12023 : 4 -> 5 ; 13007 : 10 -> 11 ; 15027 : 14 -> 15 ; 18449 : 19 -> 20 ; 53049 : 27 -> 28 ; 11105 : 6 -> 7 ; 13049 : 21 -> 22 ; 22843 : 14 -> 15 ; 83132 : 31 -> 32 ; 08449 : 10 -> 11 ; 12253 : 24 -> 25 ; 12305 : 4 -> 5 ; 13007 : 14 -> 15 ; 18619 : 12 -> 13 ; 53049 : 34 -> 35 ; 83131 : 6 -> 7 ; 08449 : 11 -> 12 ; 12023 : 8 -> 9 ; 12315 : 7 -> 8 ; 13007 : 16 -> 17 ; 13155 : 10 -> 11 ; 13185 : 12 -> 13 ; 22213 : 5 -> 6 ; 53049 : 37 -> 38 ; 18622 : 22 -> 23 ; 83131 : 8 -> 9 ; 12023 : 9 -> 10 ; 12303 : 9 -> 10 ; 12351 : 10 -> 11 ; 18183 : 17 -> 12 ; 83131 : 12 -> 13 ; 03235 : 14 -> 15 ; 03236 : 16 -> 17 ; 03402 : 13 -> 14 ; 08449 : 12 -> 13 ; 11105 : 9 -> 10 ; 12253 : 25 -> 26 ; 12361 : 5 -> 6 ; 13021 : 21 -> 22 ; 13024 : 10 -> 11 ; 13241 : 15 -> 16 ; 13413 : 14 -> 15 ; 15620 : 17 -> 18 ; 22405 : 5 -> 6 ; 12023 : 10 -> 11 ; 13007 : 22 -> 23 ; 13023 : 25 -> 26 ; 03235 : 17 -> 18 ; 12568 : 4 -> 5 ; 13241 : 16 -> 19 ; 03401 : 19 -> 20 ; 08449 : 13 -> 14 ; 12023 : 12 -> 13 ; 13007 : 27 -> 28,1255
32,56501 : 10 -> 11 ; 56502 : 63 -> 67 ; 57652 : 13 -> 16 ; 57619 : 11 -> 13 ; 57652 : 18 -> 19 ; 07703 : 12 -> 13 ; 17204 : 6 -> 7 ; 17221 : 10 -> 14 ; 57652 : 20 -> 21 ; 12603 : 17 -> 18 ; 57652 : 25 -> 26 ; 17231 : 13 -> 14 ; 07703 : 15 -> 16 ; 57652 : 28 -> 17 ; 12733 : 19 -> 20 ; 12747 : 7 -> 8 ; 12805 : 17 -> 18 ; 17204 : 9 -> 10 ; 17221 : 13 -> 14 ; 17255 : 18 -> 19 ; 22117 : 4 -> 5 ; 57619 : 19 -> 20 ; 57652 : 30 -> 31 ; 12733 : 20 -> 22 ; 57652 : 33 -> 34 ; 17233 : 2 -> 3 ; 57626 : 33 -> 34 ; 57619 : 20 -> 21 ; 12976 : 30 -> 31 ; 17405 : 44 -> 45 ; 12783 : 14 -> 15 ; 02882 : 5 -> 6 ; 07703 : 17 -> 18 ; 11020 : 25 -> 26 ; 12214 : 12 -> 13 ; 12220 : 1 -> 2 ; 12603 : 21 -> 22 ; 17221 : 15 -> 16 ; 18111 : 23 -> 24 ; 22680 : 5 -> 6 ; 22692 : 6 -> 7 ; 22694 : 6 -> 7 ; 22882 : 10 -> 11 ; 57129 : 52 -> 53 ; 11303 : 4 -> 5 ; 12026 : 3 -> 4 ; 12735 : 3 -> 4 ; 57130 : 6 -> 7 ; 12220 : 2 -> 3 ; 12732 : 2 -> 3 ; 16571 : 16 -> 17 ; 16593 : 14 -> 15 ; 17429 : 6 -> 7 ; 57130 : 12 -> 13 ; 57549 : 12 -> 13 ; 16593 : 15 -> 16 ; 57130 : 15 -> 16 ; 11020 : 27 -> 28 ; 11303 : 7 -> 8 ; 12026 : 5 -> 17 ; 17621 : 14 -> 15 ; 18111 : 26 -> 27 ; 18519 : 14 -> 15 ; 57130 : 17 -> 18 ; 11303 : 10 -> 11 ; 16572 : 5 -> 6 ; 11303 : 11 -> 13 ; 12702 : 7 -> 8 ; 12735 : 4 -> 5 ; 16593 : 20 -> 21 ; 17429 : 13 -> 14 ; 11014 : 24 -> 25 ; 11018 : 25 -> 26 ; 11302 : 21 -> 22 ; 12220 : 3 -> 4 ; 19419 : 15 -> 16 ; 11014 : 26 -> 27 ; 16382 : 56 -> 57 ; 17032 : 11 -> 12 ; 17320 : 10 -> 11 ; 22695 : 3 -> 4 ; 57130 : 28 -> 29 ; 01401 : 1 -> 2 ; 11014 : 29 -> 30 ; 11020 : 31 -> 32 ; 11028 : 37 -> 38 ; 11074 : 14 -> 15 ; 16217 : 17 -> 18 ; 16229 : 19 -> 20 ; 51450 : 1 -> 2 ; 57130 : 40 -> 41 ; 01420 : 10 -> 11 ; 11028 : 40 -> 41 ; 11403 : 18 -> 19 ; 11406 : 14 -> 15 ; 12702 : 13 -> 14 ; 51433 : 49 -> 50 ; 51434 : 4 -> 5 ; 51450 : 11 -> 12 ; 11028 : 42 -> 43 ; 12170 : 3 -> 4 ; 51450 : 15 -> 16 ; 01655 : 2 -> 3 ; 08295 : 15 -> 16 ; 11037 : 2 -> 3 ; 11078 : 63 -> 64 ; 17032 : 18 -> 19 ; 51033 : 20 -> 21 ; 51401 : 11 -> 12 ; 51402 : 24 -> 25 ; 51451 : 11 -> 12 ; 51028 : 7 -> 8 ; 51402 : 27 -> 28 ; 51450 : 25 -> 29 ; 51422 : 70 -> 71 ; 11078 : 64 -> 65 ; 51402 : 30 -> 31 ; 02511 : 1 -> 2 ; 11005 : 5 -> 6 ; 11006 : 35 -> 36 ; 11008 : 1 -> 2 ; 11014 : 32 -> 33 ; 11018 : 28 -> 29 ; 11023 : 12 -> 13 ; 11024 : 18 -> 19 ; 11026 : 1 -> 2 ; 11028 : 45 -> 46 ; 11029 : 13 -> 14 ; 17321 : 9 -> 10 ; 22695 : 4 -> 5 ; 11008 : 2 -> 3 ; 11030 : 26 -> 4 ; 11010 : 3 -> 4 ; 51028 : 11 -> 12 ; 51030 : 17 -> 18 ; 11010 : 4 -> 5 ; 11024 : 21 -> 6 ; 11030 : 27 -> 28 ; 51028 : 14 -> 15 ; 51030 : 20 -> 21 ; 11024 : 22 -> 23 ; 11008 : 4 -> 5 ; 51028 : 17 -> 18 ; 11006 : 36 -> 6 ; 11020 : 34 -> 35 ; 11101 : 3 -> 4 ; 12116 : 9 -> 10 ; 17221 : 22 -> 23 ; 11008 : 6 -> 7 ; 11024 : 26 -> 27 ; 11026 : 4 -> 5 ; 11030 : 31 -> 32 ; 12126 : 3 -> 4 ; 51028 : 22 -> 23 ; 51030 : 27 -> 28 ; 10103 : 5 -> 6 ; 10104 : 18 -> 19 ; 11003 : 4 -> 5 ; 11101 : 4 -> 5 ; 12051 : 4 -> 5 ; 12134 : 14 -> 15 ; 12978 : 12 -> 13 ; 16333 : 22 -> 23 ; 16334 : 42 -> 43 ; 50103 : 9 -> 10 ; 50104 : 30 -> 31,1065
33,13023 : 29 -> 30 ; 13024 : 5 -> 6 ; 15619 : 3 -> 31 ; 15620 : 20 -> 21 ; 11045 : 36 -> 37 ; 11046 : 4 -> 5 ; 12301 : 5 -> 6 ; 12302 : 7 -> 8 ; 12314 : 6 -> 7 ; 12321 : 13 -> 14 ; 12358 : 10 -> 11 ; 12366 : 8 -> 9 ; 12381 : 8 -> 9 ; 12397 : 1 -> 2 ; 12444 : 7 -> 8 ; 12802 : 12 -> 13 ; 12987 : 10 -> 11 ; 13010 : 60 -> 61 ; 13347 : 27 -> 28 ; 15022 : 9 -> 10 ; 18624 : 19 -> 20 ; 22858 : 7 -> 8 ; 23010 : 53 -> 54 ; 28624 : 20 -> 21 ; 13010 : 55 -> 56 ; 13151 : 27 -> 28 ; 13307 : 9 -> 10 ; 11046 : 5 -> 6 ; 12353 : 8 -> 9 ; 12381 : 11 -> 12 ; 12389 : 2 -> 3 ; 12439 : 5 -> 6 ; 12878 : 9 -> 10 ; 12175 : 11 -> 12 ; 12397 : 6 -> 7 ; 14223 : 13 -> 14 ; 11046 : 7 -> 8 ; 12397 : 8 -> 9 ; 13151 : 32 -> 33 ; 14223 : 16 -> 9 ; 11093 : 26 -> 27 ; 11094 : 3 -> 4 ; 11105 : 14 -> 15 ; 12142 : 5 -> 6 ; 12150 : 4 -> 5 ; 12303 : 19 -> 20 ; 12323 : 7 -> 8 ; 12327 : 11 -> 12 ; 12397 : 10 -> 11 ; 12402 : 12 -> 13 ; 12938 : 6 -> 7 ; 13006 : 35 -> 36 ; 13049 : 56 -> 57 ; 13050 : 51 -> 52 ; 13120 : 9 -> 10 ; 13201 : 13 -> 14 ; 19051 : 13 -> 14 ; 04927 : 1 -> 2 ; 11033 : 21 -> 22 ; 11034 : 12 -> 13 ; 11037 : 15 -> 16 ; 11038 : 4 -> 5 ; 11046 : 9 -> 10 ; 11062 : 12 -> 13 ; 11072 : 1 -> 2 ; 11081 : 15 -> 16 ; 11108 : 1 -> 2 ; 12235 : 21 -> 22 ; 12317 : 12 -> 13 ; 12331 : 17 -> 18 ; 12353 : 10 -> 11 ; 12371 : 8 -> 9 ; 12381 : 14 -> 15 ; 12537 : 12 -> 13 ; 12669 : 23 -> 24 ; 13049 : 59 -> 60 ; 13151 : 37 -> 38 ; 13237 : 7 -> 8 ; 13307 : 17 -> 18 ; 13413 : 36 -> 37 ; 14006 : 12 -> 13 ; 14007 : 16 -> 17 ; 14257 : 1 -> 2 ; 15636 : 21 -> 22 ; 15668 : 17 -> 18 ; 15933 : 28 -> 29 ; 11034 : 13 -> 14 ; 12559 : 1 -> 2 ; 15004 : 15 -> 16 ; 15117 : 1 -> 15 ; 12561 : 14 -> 15 ; 15004 : 18 -> 19 ; 11038 : 5 -> 6 ; 11056 : 15 -> 16 ; 11062 : 16 -> 17 ; 11072 : 5 -> 6 ; 11105 : 16 -> 17 ; 12149 : 14 -> 15 ; 12311 : 16 -> 17 ; 12403 : 1 -> 2 ; 12427 : 6 -> 7 ; 12428 : 7 -> 8 ; 13007 : 56 -> 57 ; 15004 : 21 -> 22 ; 13007 : 57 -> 58 ; 13132 : 19 -> 20 ; 14114 : 28 -> 59 ; 14114 : 26 -> 27 ; 15004 : 24 -> 25 ; 12311 : 17 -> 18 ; 12801 : 28 -> 29 ; 13007 : 60 -> 61 ; 02112 : 2 -> 3 ; 11016 : 10 -> 11 ; 11105 : 17 -> 18 ; 11110 : 3 -> 4 ; 12003 : 2 -> 3 ; 12179 : 3 -> 4 ; 12249 : 8 -> 9 ; 12301 : 9 -> 10 ; 12311 : 18 -> 19 ; 12319 : 8 -> 9 ; 12329 : 8 -> 9 ; 12395 : 8 -> 9 ; 12397 : 13 -> 14 ; 12401 : 22 -> 23 ; 12403 : 4 -> 5 ; 12427 : 8 -> 9 ; 12443 : 12 -> 13 ; 12487 : 15 -> 16 ; 12561 : 16 -> 17 ; 12593 : 2 -> 3 ; 12817 : 19 -> 20 ; 12937 : 10 -> 11 ; 13007 : 62 -> 63 ; 13167 : 14 -> 15 ; 14055 : 57 -> 58 ; 14217 : 17 -> 18 ; 15483 : 42 -> 43 ; 18204 : 1 -> 2 ; 22805 : 18 -> 19 ; 12179 : 4 -> 5 ; 12315 : 14 -> 15 ; 12501 : 16 -> 6 ; 18109 : 36 -> 37 ; 12179 : 6 -> 7 ; 12427 : 9 -> 8 ; 13007 : 67 -> 68 ; 14217 : 20 -> 21 ; 12003 : 3 -> 4 ; 12033 : 2 -> 9 ; 12311 : 20 -> 21 ; 12381 : 19 -> 20 ; 12875 : 36 -> 37 ; 13007 : 70 -> 71 ; 15045 : 8 -> 9 ; 15707 : 30 -> 31 ; 12003 : 4 -> 5 ; 12179 : 11 -> 12 ; 12395 : 10 -> 11 ; 12403 : 5 -> 6 ; 12487 : 16 -> 17 ; 12942 : 16 -> 17 ; 14314 : 7 -> 8 ; 15483 : 52 -> 53 ; 19054 : 13 -> 14 ; 22487 : 18 -> 19 ; 12036 : 1 -> 2 ; 12195 : 1 -> 2 ; 12315 : 15 -> 16 ; 12403 : 9 -> 10 ; 12404 : 10 -> 11 ; 12496 : 13 -> 14 ; 12938 : 10 -> 18 ; 12948 : 10 -> 11 ; 15636 : 27 -> 28 ; 19570 : 7 -> 8 ; 12195 : 3 -> 4 ; 12036 : 2 -> 5 ; 12496 : 15 -> 16 ; 12547 : 2 -> 3 ; 14853 : 19 -> 20 ; 22918 : 10 -> 11 ; 12195 : 5 -> 7 ; 14853 : 21 -> 22 ; 19716 : 13 -> 14 ; 12195 : 8 -> 9 ; 12413 : 7 -> 8 ; 12496 : 16 -> 17 ; 14312 : 25 -> 26 ; 14660 : 23 -> 24 ; 19402 : 13 -> 14 ; 54833 : 14 -> 15 ; 54834 : 28 -> 10 ; 14853 : 24 -> 25 ; 54834 : 32 -> 33 ; 12036 : 3 -> 4 ; 08243 : 25 -> 26 ; 08244 : 9 -> 10 ; 08246 : 9 -> 10 ; 11204 : 1 -> 2 ; 12015 : 6 -> 7 ; 12215 : 6 -> 7 ; 12240 : 1 -> 2 ; 12315 : 17 -> 18 ; 12461 : 12 -> 13 ; 12465 : 20 -> 21 ; 12468 : 1 -> 2 ; 12496 : 17 -> 18 ; 22981 : 10 -> 11 ; 14311 : 26 -> 27 ; 54811 : 66 -> 68 ; 14311 : 27 -> 28 ; 08243 : 26 -> 27 ; 09627 : 3 -> 4 ; 09628 : 12 -> 13 ; 09721 : 2 -> 3 ; 12065 : 3 -> 4 ; 12468 : 3 -> 4 ; 14710 : 25 -> 26 ; 14853 : 27 -> 28 ; 15715 : 29 -> 30 ; 16864 : 36 -> 37 ; 22478 : 2 -> 3 ; 14311 : 29 -> 30 ; 54806 : 7 -> 31 ; 54806 : 12 -> 13 ; 09628 : 13 -> 14 ; 09721 : 5 -> 6 ; 12215 : 7 -> 8 ; 12547 : 4 -> 5 ; 12719 : 1 -> 2 ; 12958 : 5 -> 6 ; 15014 : 26 -> 27 ; 17019 : 1 -> 2 ; 19030 : 11 -> 12 ; 54806 : 17 -> 18 ; 59307 : 25 -> 26 ; 12990 : 2 -> 3 ; 19032 : 25 -> 26 ; 54802 : 2 -> 3 ; 54806 : 25 -> 26 ; 19032 : 26 -> 27 ; 54806 : 27 -> 28 ; 54802 : 4 -> 5 ; 54806 : 29 -> 30 ; 12990 : 3 -> 4 ; 19032 : 28 -> 29 ; 54806 : 34 -> 35 ; 11089 : 4 -> 5 ; 11090 : 24 -> 25 ; 12479 : 4 -> 5 ; 12547 : 6 -> 7 ; 14707 : 12 -> 13 ; 16311 : 8 -> 9 ; 19065 : 9 -> 10 ; 52075 : 1 -> 2 ; 54802 : 6 -> 7 ; 54806 : 37 -> 38 ; 12479 : 6 -> 7 ; 16126 : 5 -> 6 ; 19028 : 22 -> 23 ; 54806 : 46 -> 47 ; 19708 : 14 -> 18 ; 54806 : 51 -> 52 ; 19030 : 14 -> 19 ; 54806 : 53 -> 54 ; 11089 : 6 -> 7 ; 16533 : 4 -> 5 ; 54806 : 59 -> 8 ; 12215 : 10 -> 11 ; 12490 : 8 -> 9 ; 12916 : 16 -> 17 ; 12959 : 10 -> 11 ; 12990 : 10 -> 11 ; 14803 : 12 -> 13 ; 14806 : 14 -> 15 ; 19066 : 4 -> 5 ; 19708 : 21 -> 22 ; 54806 : 67 -> 68,1601
34,53049 : 23 -> 24 ; 53050 : 29 -> 30 ; 53140 : 6 -> 7 ; 12339 : 9 -> 10 ; 12340 : 5 -> 6 ; 13007 : 9 -> 10 ; 13332 : 20 -> 21 ; 18605 : 6 -> 7 ; 18606 : 9 -> 10 ; 53050 : 30 -> 31 ; 02511 : 14 -> 15 ; 02512 : 12 -> 13 ; 06335 : 15 -> 16 ; 06336 : 44 -> 45 ; 11106 : 19 -> 20 ; 11447 : 39 -> 40 ; 12250 : 8 -> 9 ; 12254 : 7 -> 8 ; 12318 : 22 -> 23 ; 12326 : 17 -> 18 ; 12328 : 18 -> 19 ; 12371 : 3 -> 4 ; 12376 : 1 -> 2 ; 13168 : 20 -> 21 ; 13288 : 19 -> 20,54
